Team,Att,Cmp,CmpPct,Yds/Att,Pass,TD,INT,Rate,1st,1stPct,20+,40+,Sck,SckY,Rush,YPC,RushPct,RushPct2,RushPct3,Rec,Yds,Yds/Rec,RecPct1,RecPct2,RecPct3,Rsh,Tot,2-PT,3rd,3rdPct,4th,4thPct,Scrm
Seahawks,486.0,334.0,61.45,7.0,3792.5,21.0,15.0,84.75,184.0,33.9,26.0,7.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,308.0,3198.0,10.4,168.0,54.6,4.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Vikings,486.0,334.0,61.45,7.0,3792.5,33.0,15.0,84.75,184.0,33.9,57.0,12.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,307.0,4019.0,13.1,193.0,62.9,5.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Bears,486.0,334.0,61.45,7.0,3792.5,12.0,15.0,84.75,184.0,33.9,29.0,6.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,304.0,3005.0,9.9,143.0,47.0,5.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Saints,486.0,334.0,61.45,7.0,3792.5,22.0,15.0,84.75,184.0,33.9,42.0,8.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,298.0,3573.0,12.0,169.0,56.7,4.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Ravens,486.0,334.0,61.45,7.0,3792.5,20.0,15.0,84.75,184.0,33.9,37.0,8.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,287.0,3102.0,10.8,156.0,54.4,4.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Titans,486.0,334.0,61.45,7.0,3792.5,18.0,15.0,84.75,184.0,33.9,41.0,6.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,286.0,3430.0,12.0,167.0,58.4,5.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Falcons,486.0,334.0,61.45,7.0,3792.5,14.0,15.0,84.75,184.0,33.9,32.0,5.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,285.0,3166.0,11.1,156.0,54.7,4.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Raiders,486.0,334.0,61.45,7.0,3792.5,28.0,15.0,84.75,184.0,33.9,42.0,8.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,284.0,3430.0,12.1,177.0,62.3,2.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Browns,486.0,334.0,61.45,7.0,3792.5,9.0,15.0,84.75,184.0,33.9,25.0,3.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,278.0,2728.0,9.8,110.0,39.6,6.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Lions,486.0,334.0,61.45,7.0,3792.5,14.0,15.0,84.75,184.0,33.9,34.0,4.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,277.0,2992.0,10.8,143.0,51.6,3.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Cowboys,486.0,334.0,61.45,7.0,3792.5,14.0,15.0,84.75,184.0,33.9,33.0,6.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,255.0,2771.0,10.9,128.0,50.2,3.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Dolphins,486.0,334.0,61.45,7.0,3792.5,15.0,15.0,84.75,184.0,33.9,32.0,8.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,243.0,2720.0,11.2,122.0,50.2,2.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Buccaneers,486.0,334.0,61.45,7.0,3792.5,18.0,15.0,84.75,184.0,33.9,38.0,5.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,237.0,2824.0,11.9,144.0,60.8,2.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Steelers,486.0,334.0,61.45,7.0,3792.5,12.0,15.0,84.75,184.0,33.9,37.0,3.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,217.0,2738.0,12.6,128.0,59.0,4.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Bengals,486.0,334.0,61.45,7.0,3792.5,6.0,15.0,84.75,184.0,33.9,26.0,1.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,207.0,2219.0,10.7,109.0,52.7,2.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
